SeasonYear,Round,Dates,winner,loser,seriesLen
2014,Western Conf First Round,Apr 20 - May 4 2014,San Antonio Spurs,Dallas Mavericks,7
2014,Western Conf First Round,Apr 19 - May 3 2014,Oklahoma City Thunder,Memphis Grizzlies,7
2014,Western Conf First Round,Apr 19 - May 3 2014,Los Angeles Clippers,Golden State Warriors,7
2014,Western Conf First Round,Apr 20 - May 2 2014,Portland Trail Blazers,Houston Rockets,6
2014,Eastern Conf Semifinals,May 5 - May 15 2014,Indiana Pacers,Washington Wizards,6
2014,Eastern Conf Semifinals,May 6 - May 14 2014,Miami Heat,Brooklyn Nets,5
2014,Western Conf Semifinals,May 6 - May 14 2014,San Antonio Spurs,Portland Trail Blazers,5
2014,Western Conf Semifinals,May 5 - May 15 2014,Oklahoma City Thunder,Los Angeles Clippers,6
2014,Eastern Conf Finals,May 18 - May 30 2014,Miami Heat,Indiana Pacers,6
2014,Western Conf Finals,May 19 - May 31 2014,San Antonio Spurs,Oklahoma City Thunder,6
2014,Finals,Jun 5 - Jun 15 2014,San Antonio Spurs,Miami Heat,5
2013,Eastern Conf First Round,Apr 21 - Apr 28 2013,Miami Heat,Milwaukee Bucks,4
2013,Eastern Conf First Round,Apr 20 - May 3 2013,New York Knicks,Boston Celtics,6
2013,Eastern Conf First Round,Apr 21 - May 3 2013,Indiana Pacers,Atlanta Hawks,6
2013,Eastern Conf First Round,Apr 20 - May 4 2013,Chicago Bulls,Brooklyn Nets,7
2013,Western Conf First Round,Apr 21 - May 3 2013,Oklahoma City Thunder,Houston Rockets,6
2013,Western Conf First Round,Apr 21 - Apr 28 2013,San Antonio Spurs,Los Angeles Lakers,4
2013,Western Conf First Round,Apr 20 - May 2 2013,Golden State Warriors,Denver Nuggets,6
2013,Western Conf First Round,Apr 20 - May 3 2013,Memphis Grizzlies,Los Angeles Clippers,6
2013,Eastern Conf Semifinals,May 6 - May 15 2013,Miami Heat,Chicago Bulls,5
2013,Eastern Conf Semifinals,May 5 - May 18 2013,Indiana Pacers,New York Knicks,6
2013,Western Conf Semifinals,May 5 - May 15 2013,Memphis Grizzlies,Oklahoma City Thunder,5
2013,Western Conf Semifinals,May 6 - May 16 2013,San Antonio Spurs,Golden State Warriors,6
2013,Eastern Conf Finals,May 22 - Jun 3 2013,Miami Heat,Indiana Pacers,7
2013,Western Conf Finals,May 19 - May 27 2013,San Antonio Spurs,Memphis Grizzlies,4
2013,Finals,Jun 6 - Jun 20 2013,Miami Heat,San Antonio Spurs,7
2012,Eastern Conf First Round,Apr 28 - May 10 2012,Philadelphia 76ers,Chicago Bulls,6
2012,Eastern Conf First Round,Apr 28 - May 9 2012,Miami Heat,New York Knicks,5
2012,Eastern Conf First Round,Apr 28 - May 8 2012,Indiana Pacers,Orlando Magic,5
2012,Eastern Conf First Round,Apr 29 - May 10 2012,Boston Celtics,Atlanta Hawks,6
2012,Western Conf First Round,Apr 29 - May 7 2012,San Antonio Spurs,Utah Jazz,4
2012,Western Conf First Round,Apr 28 - May 5 2012,Oklahoma City Thunder,Dallas Mavericks,4
2012,Western Conf First Round,Apr 29 - May 12 2012,Los Angeles Lakers,Denver Nuggets,7
2012,Western Conf First Round,Apr 29 - May 13 2012,Los Angeles Clippers,Memphis Grizzlies,7
2012,Eastern Conf Semifinals,May 13 - May 24 2012,Miami Heat,Indiana Pacers,6
2012,Eastern Conf Semifinals,May 12 - May 26 2012,Boston Celtics,Philadelphia 76ers,7
2012,Western Conf Semifinals,May 15 - May 20 2012,San Antonio Spurs,Los Angeles Clippers,4
2012,Western Conf Semifinals,May 14 - May 21 2012,Oklahoma City Thunder,Los Angeles Lakers,5
2012,Western Conf Finals,May 27 - Jun 6 2012,Oklahoma City Thunder,San Antonio Spurs,6
2012,Eastern Conf Finals,May 28 - Jun 9 2012,Miami Heat,Boston Celtics,7
2012,Finals,Jun 12 - Jun 21 2012,Miami Heat,Oklahoma City Thunder,5
2011,Eastern Conf First Round,Apr 16 - Apr 26 2011,Chicago Bulls,Indiana Pacers,5
2011,Eastern Conf First Round,Apr 16 - Apr 27 2011,Miami Heat,Philadelphia 76ers,5
2011,Eastern Conf First Round,Apr 17 - Apr 24 2011,Boston Celtics,New York Knicks,4
2011,Eastern Conf First Round,Apr 16 - Apr 28 2011,Atlanta Hawks,Orlando Magic,6
2011,Western Conf First Round,Apr 17 - Apr 29 2011,Memphis Grizzlies,San Antonio Spurs,6
2011,Western Conf First Round,Apr 17 - Apr 28 2011,Los Angeles Lakers,New Orleans Hornets,6
2011,Western Conf First Round,Apr 16 - Apr 28 2011,Dallas Mavericks,Portland Trail Blazers,6
2011,Western Conf First Round,Apr 17 - Apr 27 2011,Oklahoma City Thunder,Denver Nuggets,5
2011,Eastern Conf Semifinals,May 2 - May 12 2011,Chicago Bulls,Atlanta Hawks,6
2011,Eastern Conf Semifinals,May 1 - May 11 2011,Miami Heat,Boston Celtics,5
2011,Western Conf Semifinals,May 2 - May 8 2011,Dallas Mavericks,Los Angeles Lakers,4
2011,Western Conf Semifinals,May 1 - May 15 2011,Oklahoma City Thunder,Memphis Grizzlies,7
2011,Eastern Conf Finals,May 15 - May 26 2011,Miami Heat,Chicago Bulls,5
2011,Western Conf Finals,May 17 - May 25 2011,Dallas Mavericks,Oklahoma City Thunder,5
2011,Finals,May 31 - Jun 12 2011,Dallas Mavericks,Miami Heat,6
2010,Eastern Conf First Round,Apr 17 - Apr 27 2010,Cleveland Cavaliers,Chicago Bulls,5
2010,Eastern Conf First Round,Apr 18 - Apr 26 2010,Orlando Magic,Charlotte Bobcats,4
2010,Eastern Conf First Round,Apr 17 - May 2 2010,Atlanta Hawks,Milwaukee Bucks,7
2010,Eastern Conf First Round,Apr 17 - Apr 27 2010,Boston Celtics,Miami Heat,5
2010,Western Conf First Round,Apr 18 - Apr 30 2010,Los Angeles Lakers,Oklahoma City Thunder,6
2010,Western Conf First Round,Apr 18 - Apr 29 2010,San Antonio Spurs,Dallas Mavericks,6
2010,Western Conf First Round,Apr 18 - Apr 29 2010,Phoenix Suns,Portland Trail Blazers,6
2010,Western Conf First Round,Apr 17 - Apr 30 2010,Utah Jazz,Denver Nuggets,6
2010,Eastern Conf Semifinals,May 1 - May 13 2010,Boston Celtics,Cleveland Cavaliers,6
2010,Eastern Conf Semifinals,May 4 - May 10 2010,Orlando Magic,Atlanta Hawks,4
2010,Western Conf Semifinals,May 2 - May 10 2010,Los Angeles Lakers,Utah Jazz,4
2010,Western Conf Semifinals,May 3 - May 9 2010,Phoenix Suns,San Antonio Spurs,4
2010,Western Conf Finals,May 17 - May 29 2010,Los Angeles Lakers,Phoenix Suns,6
2010,Eastern Conf Finals,May 16 - May 28 2010,Boston Celtics,Orlando Magic,6
2010,Finals,Jun 3 - Jun 17 2010,Los Angeles Lakers,Boston Celtics,7
2009,Eastern Conf First Round,Apr 18 - Apr 26 2009,Cleveland Cavaliers,Detroit Pistons,4
2009,Eastern Conf First Round,Apr 18 - May 2 2009,Boston Celtics,Chicago Bulls,7
2009,Eastern Conf First Round,Apr 19 - Apr 30 2009,Orlando Magic,Philadelphia 76ers,6
2009,Eastern Conf First Round,Apr 19 - May 3 2009,Atlanta Hawks,Miami Heat,7
2009,Western Conf First Round,Apr 19 - Apr 27 2009,Los Angeles Lakers,Utah Jazz,5
2009,Western Conf First Round,Apr 19 - Apr 29 2009,Denver Nuggets,New Orleans Hornets,5
2009,Western Conf First Round,Apr 18 - Apr 28 2009,Dallas Mavericks,San Antonio Spurs,5
2009,Western Conf First Round,Apr 18 - Apr 30 2009,Houston Rockets,Portland Trail Blazers,6
2009,Western Conf Semifinals,May 4 - May 17 2009,Los Angeles Lakers,Houston Rockets,7
2009,Western Conf Semifinals,May 3 - May 13 2009,Denver Nuggets,Dallas Mavericks,5
2009,Eastern Conf Semifinals,May 5 - May 11 2009,Cleveland Cavaliers,Atlanta Hawks,4
2009,Eastern Conf Semifinals,May 4 - May 17 2009,Orlando Magic,Boston Celtics,7
2009,Eastern Conf Finals,May 20 - May 30 2009,Orlando Magic,Cleveland Cavaliers,6
2009,Western Conf Finals,May 19 - May 29 2009,Los Angeles Lakers,Denver Nuggets,6
2009,Finals,Jun 4 - Jun 14 2009,Los Angeles Lakers,Orlando Magic,5
